Id,Name,Person,Alt Names,Birthdate,Place of Birth,Death,Source
1,Belisario Porras,Belisario Porras,Belisario Barahona,1856,Las Tablas,1942,
2,Eva Paniza,Eva Paniza,,1869,Panama City,1914,
3,Virginia Ma Arosemena,Virginia Ma Arosemena,,,,,
4,Jose Luis Paniza,Jose Luis Paniza,,,,1911,
5,Juana Barahona,Juana Barahona,,,,,
6,Higinio De León,Higinio De León,,,,,
7,Narcisa Paniza,Narcisa Paniza,,,,,
8,Rito Paniza,Rito Paniza,,,,,
9,Leticia Porras,Leticia Porras,,1896,,,
10,Elias Smith,Elias Smith,,,,,
11,Captain Tilton,Captain Tilton,,,,,
12,Victoriano Endara,Victoriano Endara,,,,,
13,Carlos Endara,Carlos Endara,,,,,
14,Abuela Mime,Abuela Mime,,,,,
15,Laurencio Conte,Laurencio Conte,,,,,
16,Camilo Porras Paniza,Camilo Porras Paniza,,,,,
17,Demetrio Porras Paniza,Demetrio Porras Paniza,,,,,
18,Demetrio Porras Sigurbia,Demetrio Porras Sigurbia,,1897,,,
19,Silvia Porras,Silvia Porras,Silvia Peñaloza,,,,
20,Julieta Porras,Julieta Porras,,,Costa Rica,,
21,Jose Porras,Jose Porras,,1897,,,
22,Roberto Belisario Porras,Roberto Belisario Porras,,,,,
23,Ricardo J. Alfaro,Ricardo J. Alfaro,,,,,
24,Ramon Acevedo,Ramon Acevedo,,,,,
25,Juan Gaspar Stork,Juan Gaspar Stork,,,,,
26,Javier Junguito,Javier Junguito,,,,,
27,Emilia Porras,Emilia Porras,,,,,
28,Charles Smith Paniza,Charles Smith Paniza,,,,,
29,Lloyd Smith Paniza,Lloyd Smith Paniza,,,,,
30,Teresa Peñaloza,Teresa Peñaloza,,,,,
31,Catalina Sigurbia,Catalina Sigurbia,,,,,
32,Amelia Lyons de Alfaro,Amelia Lyons de Alfaro,,,,,
33,Alicia Castro de Porras,Alicia Castro de Porras,,,,,
34,Teresa Porras Paniza,Teresa Porras Paniza,,,,,
35,Virginia Ma Paniza,Virginia Ma Paniza,,,,,
36,Carlos Endara,Carlos Endara,,,,,
37,Demetrio Porras,Demetrio Porras,,,,,
38,Padre Jované,Padre Jované,,,,,
39,Francisco Filós,Francisco Filós,,,,,
40,Pablo Arosemena,Pablo Arosemena,,,,,
